Item,Closed,Pending,Resolved,Assigned,WIP,Total
Vibratoques Meu Nome,18,0,0,0,0,18
Contract -Renewal,14,2,0,1,1,18
Main Account  - Vibratoques,17,0,0,0,0,17
M-Pesa Account Transactions,17,0,0,0,0,17
Pagamento de serviços,16,0,0,1,0,17
M-Pesa  Change pin,17,0,0,0,0,17
Idioma Correcto - XiChangana,16,0,0,0,0,16
Payment -Vodashop cash,16,0,0,0,0,16
Transaction Reversal - Deposit Cash,15,0,0,1,0,16
Net 12H,14,0,0,2,0,16
Partial Reversal - Customer to Customer,14,0,0,1,0,15
WFTTI,10,0,0,5,0,15
Transaction Reversal M-Pesa To Bank,11,0,0,4,0,15
Youtube,13,1,0,1,0,15
Extracto de Chamadas,14,0,0,1,0,15
Main Account - Cobrança Indevida,15,0,0,0,0,15
Cannot Use Social Media,15,0,0,0,0,15
Troca Txintxa,15,0,0,0,0,15
M-pesa  Acount  Status,14,0,0,0,0,14
So Pra ti,12,0,0,2,0,14
Cannot send and receive SMS,12,0,0,1,0,13
Tariff Plan,13,0,0,0,0,13
VuClip - Cancelar Subscrição,13,0,0,0,0,13
Subscriber status 2,13,0,0,0,0,13
Cancelled - Buy Credelec,13,0,0,0,0,13
Archived Account,8,0,0,5,0,13
Main Account - Bom Papo,12,0,0,0,0,12
Request Balance Reallocation,5,0,0,7,0,12
SMS sent to Customer,12,0,0,0,0,12
Toke d’Bola,12,0,0,0,0,12
Pedidos de informação,12,0,0,0,0,12
Cancellation Request,12,0,0,0,0,12
Batch Expired,8,1,0,2,0,11
Fraudulent Activity,7,0,0,4,0,11
RMS down,11,0,0,0,0,11
Alcatel 1,10,1,0,0,0,11
Credelec – Primeira compra,11,0,0,0,0,11
Authorized- Withdraw Cash,11,0,0,0,0,11
Renewal Campaign,11,0,0,0,0,11
Maximum Monthly Money In,10,0,0,0,0,10
Agent Float Deposit,5,0,0,5,0,10
Menu update request,10,0,0,0,0,10
Data Bundles- Informação não actualizada,10,0,0,0,0,10
Agentes M-Pesa – Requisitos,10,0,0,0,0,10
Authorized - Send Money to Unregistered Customer,10,0,0,0,0,10
Social Networks & Internet issues,10,0,0,0,0,10
Maintenance Services,10,0,0,0,0,10
Call Transfer,10,0,0,0,0,10
What's my number,10,0,0,0,0,10
MSISDN Swap Request,10,0,0,0,0,10
Phones and accessories,10,0,0,0,0,10
Due Date notifications,6,0,0,4,0,10
Maximum Daily Money In,9,0,0,0,0,9
Transfer from e-Mola to M-Pesa,9,0,0,0,0,9
Jackpot SMS,9,0,0,0,0,9
Statement & Account History,9,0,0,0,0,9
Transaction Reversal - C2B,9,0,0,0,0,9
GOtv No Signal after Payment,6,0,0,3,0,9
Corporate APN,9,0,0,0,0,9
Frozen Account,9,0,0,0,0,9
Contract - Renewal Approved Request,5,2,1,1,0,9
GOTv Payments,9,0,0,0,0,9
Main Account – VuGames,9,0,0,0,0,9
Tier Downgrade,5,0,0,3,0,8
Pedido de Extracto USSD,7,0,0,1,0,8
Reset Password,0,0,0,8,0,8
